id_commande,id_date,id_client,sk_produit,id_region,id_livreur,quantite,prix_unitaire,montant_ttc,statut
ORD-000001,20260115,C00907,93,4,-1,3,4435.51,13306.53,livré
ORD-000002,20250520,C03664,100,2,L012,2,957.62,1915.24,retourné
ORD-000003,20250606,C01094,88,0,L012,3,4317.81,12953.43,retourné
ORD-000004,20250704,C01440,70,4,L015,1,6438.16,6438.16,retourné
ORD-000005,20251117,C01878,51,0,L007,5,11974.15,59870.75,livré
ORD-000006,20251031,C02972,3,3,L012,2,2340.64,4681.28,livré
ORD-000007,20250607,C03642,80,4,L012,5,9454.03,47270.15,retourné
ORD-000008,20250825,C02999,47,5,L012,2,12599.54,25199.08,livré
ORD-000009,20250929,C01277,79,5,L011,1,11402.26,11402.26,en_cours
ORD-000010,20251128,C01293,5,1,L006,5,696.91,3484.5499999999997,annulé
ORD-000011,20250924,C04614,52,6,L007,3,6434.91,19304.73,livré
ORD-000012,20260403,C00029,81,7,L014,5,6927.1,34635.5,en_cours
ORD-000013,20260311,C03066,84,7,L009,4,2837.9,11351.6,retourné
ORD-000014,20250830,C03084,27,3,L017,4,1508.72,6034.88,annulé
ORD-000016,20250802,C04354,81,1,L015,5,6927.1,34635.5,retourné
ORD-000017,20260506,C03419,8,7,L001,3,13697.91,41093.729999999996,annulé
ORD-000018,20260328,C00727,62,0,L020,3,2873.94,8621.82,retourné
ORD-000019,20251230,C02191,85,3,L010,4,12173.02,48692.08,annulé
ORD-000020,20251124,C00795,42,7,L018,2,1281.09,2562.18,livré
ORD-000021,20251107,C00441,15,3,L004,1,7919.83,7919.83,annulé
ORD-000022,20250525,C02649,82,0,L001,1,8273.46,8273.46,annulé
ORD-000023,20260120,C00615,95,0,L002,4,10216.02,40864.08,livré
ORD-000024,20260427,C03439,38,1,L010,1,1743.53,1743.53,livré
ORD-000025,20260501,C03722,80,1,L015,5,9454.03,47270.15,annulé
ORD-000026,20260317,C02383,56,4,L003,3,12291.32,36873.96,livré
ORD-000027,20250803,C01134,54,2,L016,4,9755.66,39022.64,en_cours
ORD-000028,20250828,C44510,53,6,L017,4,4181.07,16724.28,en_cours
ORD-000029,20250705,C03597,7,1,L006,1,9603.6,9603.6,retourné
ORD-000030,20260102,C04870,96,4,L011,5,4433.71,22168.55,retourné
ORD-000031,20250710,C02149,33,7,L004,1,5311.64,5311.64,annulé
ORD-000032,20250525,C03164,43,3,L015,2,376.14,752.28,livré
ORD-000033,20260404,C00259,66,0,-1,5,4450.73,22253.649999999998,annulé
